"","CTR-DS1","CTR-DS2","CTR-DS3","DR-DS1","DR-DS2","DR-DS3"
"MLOC_64657.1",7.75277325614151,7.90661267073348,7.63127175905541,8.02488631408825,8.23956366178508,7.88443393707478
"MLOC_70533.1",8.11174269677222,7.83661233120694,7.94684746772468,7.59274707997836,7.84834825903518,7.51759939004664
"MLOC_79868.1",8.45902461798169,8.81057027591693,8.50106853846791,8.77583928704677,8.93237894343931,8.88124067363046
"MLOC_42305.1",5.99705041953867,6.2985384050988,6.02416240995987,6.26201422053437,6.36298579042226,6.51903674678023
"MLOC_10769.1",8.07210326796858,7.98718190738342,8.29779948838123,8.30013571731334,8.39497778613481,8.39027786609888
"MLOC_31098.1",9.01001107077588,8.93274552476342,8.9924839855887,8.87355557252953,8.82535291561159,8.78257117048736
"MLOC_56389.3",7.72231173289032,7.63893252364862,7.67581587832757,7.47986395073087,7.41879105894533,6.94091605764873
"MLOC_70866.2",7.82533946813424,7.75460648203288,7.89706938257092,7.6533116209543,7.69047406047804,7.55892405144723
"MLOC_81970.1",7.78276988835517,7.69233923947833,7.71821516239931,7.36659245390013,7.65388275611843,7.44395141604248
"MLOC_7806.1",7.26211385904222,7.20216451667743,7.22847942223407,7.08666661112094,7.12746644315531,7.02919762073216
"MLOC_3078.1",8.26409052454386,8.20875440420828,8.23207364713601,8.0598408193134,8.09160483961945,8.12768987342861
"MLOC_56702.1",8.2249723534671,8.77894967069622,8.61868116840673,8.96309444316621,8.82236851132796,8.96595607640753
"MLOC_5001.2",8.52744286067361,8.53474182523823,8.34271569092751,8.64564463197052,8.57951255620792,8.61892620110415
"MLOC_37758.1",8.70715501045057,8.62770782815701,8.65519767397843,8.51316549496404,8.52758378425327,8.54023766996721
"MLOC_23969.1",8.27437950623032,8.21828092365241,8.27718375527523,8.14975940919667,8.09627113661792,8.10288682846358
"MLOC_80485.1",7.77023883669717,7.58933370544525,7.63953077022827,7.47334639991675,7.51621463416662,7.20567422930226
"MLOC_55628.1",8.52228726973074,8.68048684786295,8.62731775664412,8.28248565501727,8.40164949249923,8.48623161729145
"MLOC_48531.1",8.74474760528014,8.97884601075854,8.89614105066448,8.68779739463963,8.67466859414573,8.42531155088726
"MLOC_52081.1",8.68598439931447,8.88582398875186,9.04274347311266,8.66519107653889,8.58093915216659,8.41295028262748
"MLOC_4280.1",10.3654525798577,10.2091503839632,10.421753022392,10.7312512000529,10.5438592253249,10.430960148312
"MLOC_31348.1",9.09994094460466,9.02573384487546,8.97471876707128,9.2188883266989,9.11244881108743,9.1318582807032
"MLOC_59149.1",9.62770987351136,9.6043690587215,9.5562754094221,9.68432523960089,9.81818161788259,9.68881439025083
"MLOC_73808.2",8.84383093360594,8.77479820383569,8.96436437586171,8.19891097483975,8.57672713516626,8.68679816267736
"MLOC_18233.1",8.37392077677523,8.48057775894367,8.13589929689611,8.55734929715787,8.52054012741636,8.54009178894362
"MLOC_57173.1",8.43247784267821,8.25517542419294,8.3573337765883,8.13952334353378,8.23553765790662,8.10709331123799
"MLOC_17760.1",8.54774670470432,8.49085956631872,8.61091294813551,8.31496776835518,8.38099714527077,8.42879284275286
"MLOC_34526.1",8.70923518880207,8.54439744716574,8.65552794838704,8.49879728738827,8.47223067760958,8.44234733988525
"MLOC_53317.2",8.08179371302104,8.17146044865134,8.17538940290598,8.05981659530143,7.91932041038843,7.83985419988044
"MLOC_46083.1",7.89586459339691,7.72737750571974,7.57969525564687,7.98867779974889,7.9012242377629,7.88734481830841
"MLOC_37219.4",7.91136818588907,7.79531699964386,7.88595445259659,7.65944175306437,7.76172062204622,7.48906890979933
"MLOC_20818.1",8.93991449517697,8.85109169702653,8.8801365673415,8.73251921316338,8.76696238168522,8.76105354606865
"MLOC_77869.1",8.32466736097227,8.2327338313824,8.34878435802816,8.08512765384953,8.07587257403611,8.21027539352238
"MLOC_53132.1",7.33502854115341,7.83020008301455,7.19459463546,7.82862309501116,7.88837795792285,7.81676333233146
"MLOC_7478.1",7.45523297286198,7.31710402489611,7.28719520884065,6.72108046711172,6.81028118716743,7.29938180411446
"MLOC_67360.1",6.22883050431733,6.19669586645078,6.29658891530948,6.11088603972307,6.03470084661912,6.10807131058491
"MLOC_50165.1",8.40646593228727,8.52471178999183,8.25268683808383,8.7138879365152,8.77502414361141,8.45795232178527
"MLOC_37017.2",6.88874501368847,7.10200761506845,6.41557636830081,7.4531537273472,7.30908372985839,7.03210540072483
"MLOC_26717.1",8.01687324958452,7.58388915643716,7.48545706207268,8.01753219210408,7.9677490879341,8.04431215324614
"MLOC_54589.1",9.79983307921447,9.72459120954027,9.77980828380942,9.57200026342952,9.65317930505035,9.63954839302192
"MLOC_56091.1",8.16261113949098,8.13330116908029,8.18610663829874,8.0262804483976,7.96482847457961,8.06022267946644
"MLOC_52518.1",8.53237506440517,8.41563232682076,8.4490937046465,8.3186742234445,8.33897939180263,8.32315518483555
"MLOC_7217.1",8.19514882110061,8.11247906712723,8.11833558295068,8.04869039640862,7.82284517336245,7.99325911853579
"MLOC_79236.2",8.8692536138738,8.75204624641074,8.80264056958614,8.58051653710331,8.68834679828315,8.67797036884638
"MLOC_34842.1",7.44975338775267,7.38849534818263,7.44519889868846,7.66986395687428,7.44541427980003,7.70908083470511
"MLOC_53211.1",8.74397506131161,8.69527845197019,8.5802395091556,8.8525227609714,8.7830436625689,8.75503564313418
"MLOC_63977.1",7.90142725541617,7.6518617449228,7.90295259757032,7.51541277798208,7.59548389298997,7.65135439873052
"MLOC_4753.2",9.74097371184784,9.59716080844124,9.73986001926539,9.44887807102981,9.50741692900749,9.58047297966233
"MLOC_67347.1",8.01178452653007,8.00952693712236,8.04732570181228,7.83926017663382,7.79256168784256,7.95095043987399
"MLOC_34983.1",9.10742930343818,9.00798288103845,9.04929350196841,8.87374048561111,8.92639614732316,8.94315373632766
"MLOC_21832.1",8.14289341137204,8.03682470972741,8.1547171563741,7.98693960741344,7.45048623139374,7.84703388508237
"MLOC_13565.1",9.67005549595361,9.65827900319468,9.69032984851838,9.52015030414371,9.53057181317054,9.57351903968909
"MLOC_4763.1",8.38509625919713,8.59444301751778,8.22570038455369,8.12781922211924,8.20242322984245,8.13960598816498
"MLOC_37549.1",8.96367716085564,8.88210894788746,8.86000454788368,8.74058474853077,8.82012643638853,8.68814208643526
"MLOC_12870.1",8.45008805381559,8.45405908808849,8.43887654251651,8.37249064171245,8.3029482530195,8.26893840244432
"MLOC_64919.1",9.52903115557781,9.60655295004657,9.58702321193138,9.42510573286429,9.34522728476567,8.90725726603082
"MLOC_68435.1",7.82975078062465,7.71782841206485,7.68662460937363,7.89746503317686,7.97339838170107,7.79576855346957
"MLOC_5173.1",8.93159883317171,8.97554293839311,8.92593794139076,8.85671732919675,8.74826622137098,8.81900271338855
"MLOC_34610.2",7.32380627984697,7.18542733321429,7.34656982604745,7.05333865488296,7.0387066310874,7.19325228881829
"MLOC_44460.2",7.69533448879291,8.00569083267544,7.93969006622156,8.09944847283748,8.13195856456243,8.04290972386577
